card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
02-Cargo 99 02,Promo 02,Market,Cargo,Frank Hollander,"Hologram
Anomaly
Android","Play - Free: Log a Cargo from your hand, Discard pile, or in play to gain 1 Glory. You may free play a Hologram / Incident.",-,2.0
02-Cargo 99 03,Promo 02,Market,Cargo,Golden Statue of O'Brien,"Starfleet
Ongoing","Play - Free: You my find an Engineer. Deploy this card.
---
Reaction - After logging an Engineer recalled a beamed card.
---
Endgame - Score 1 for each Engineer in your Log.",-,"Endgame
2"
03-Ship 01 01,Core Box,Market,Ship,Bird-of-Prey,"Imperial
Romulan
Attack
Cloak","Play - Action: Deploy this ship. You may discard a card to send an Away Team to a Location, ignoring any opponent Ship. If the discarded card is Imperial, gain 1 Glory.
---
Activation - Action, Attack: Warp this ship. You may spend 1 Dilithium to force your opponent to recall a Ship.
---
Activation - Discard a card to beam a card here.",Influence,2.0
"03-Ship 01 02
03-Ship 02 01",Core Box,Market,Ship,Borg Probe,Borg,"Play - Free: Deploy and warp this ship. You may spend an Action and 1 Dilithium to gain a Person and log the gained card. If your Captain has Borg, assimilate it instead.
---
Activation - Warp this ship.
---
Activation - Beam a card here from your hand of Discard pile.",-,2.0
"03-Ship 01 03
03-Ship 02 03",Core Box,Market,Ship,D'kyr Cruiser,"Scientist
Vulcan","Play - Action: Deploy and warp this ship. You may discard a card to gain 1 Research.
---
Play - Action, Requires 5 Military: Deploy and warp this ship. You may send an Away Team to this ship's Location.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,2.0
"03-Ship 01 04
03-Ship 02 05",Core Box,Market,Ship,Holographic Drone Ship,"Hologram
Romulan
Weapon
Aenar","Play - Free, Requires 7 Research: Draw a card. Duplicate a play operation of a non-Time Travel Ship from the Market of any player's Fleet Area.
---
Play - Discard a Telepath to deploy and warp this ship.
---
Activation - Warp this ship.
---
Activation - Dismiss this ship. Gain 2 Glory.",-,Influence
03-Ship 01 05,Core Box,Market,Ship,K't'inga Battlecruiser,"Imperial
Klingon","Play - Action: Deploy this ship. You may send an Away Team to a Location.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",Military,Military
"03-Ship 01 06
03-Ship 02 06",Core Box,Market,Ship,Kazon Raider,"Attack
Kazon
Shady","Play - Action, Attack: Depoly this ship. Force your opponent to discard a card. You may discard a card to gain 1 Latinum.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Reaction - After gaining a card to the top of your deck, spend 1 Latinum to draw a card and refresh this card.",-,Influence
"03-Ship 01 07
03-Ship 02 08",Core Box,Market,Ship,Pakled Freighter,"Business
Pakled","Play - Action: Deploy this ship. You may gain a Cargo from the Junk. If the gained card is a Weapon/Anomaly, gain 1 Military.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,2.0
03-Ship 01 08,Core Box,Market,Ship,Son'a Battlecruiser,"Dominion
Attack
Shady","Play - Action, Attack: Deploy this ship. Steal 1 Dilithium.
---
Play - Action, Attack, Requires 5 Military: Deploy this ship. Steal 2 Dilithium. Your Opponent discards a card.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,2.0
"03-Ship 01 09
03-Ship 02 09",Core Box,Market,Ship,U.S.S. Enterprise-C,"Time Travel
Ambassador
Starfleet","Play - Action: Deploy this ship. Up to twice: beam a card here or warp this ship. Exhaust this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Dismiss this ship and discard a card to gain 1 Glory, 1 Action, and recall a non-Time Travel card from your Staging Area.",-,Research
"03-Ship 01 10
03-Ship 02 10",Core Box,Market,Ship,U.S.S. Pasteur,"Communication
Starfleet
Doctor","Play - Action: Deploy this ship. You may free play a Communication/Doctor.
---
Play - Action: Spend 2 Dilithium to scan for either Communication, Doctor, Engineer, or Scientist.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,Research
03-Ship 01 11,Core Box,Market,Ship,U.S.S. Reliant,Starfleet,"Play - Action: Deploy and warp this ship.
---
Play - Free, Requires 5 Influence: If your opponent has at most 1 ship deployed, deploy this ship then choose 2 of the following: send an Away Team to a Location OR draw a card OR discard an Augment to gain 2 Glory.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,2.0
03-Ship 01 12,Core Box,Market,Ship,Voth Research Vessel,"Anomaly
Alien","Play - Action: Discard a card to deploy and warp this ship.
---
Activation - Warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Action: Dismiss a Person with Human that is beamed here to take the top Encounter card. Log this card.",Research,2.0
"03-Ship 01 13
03-Ship 02 13",Core Box,Market,Ship,Xindi-Reptillian Battleship,Xindi,"Play - Action: Deploy this Ship. You may gain a Cargo. If the gained card is a Weapon, beam it here and gain 1 Glory.
---
Play - Action: Deploy this ship. Gain 1 Glory per Time Travel you have in play (max 3).
---
Resupply - Draw a card for every 2 Anomaly you have in play (max 4 cards).
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",-,Military
03-Ship 02 02,To Boldly Go,Market,Ship,D'Kora Marauder,"Business
Ferengi
Attack","Play - Action: Deploy this ship. Steal 1 Latinum.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Spend 1 Latinum to send an Away Team to this ship's Location.",Military,2.0
03-Ship 02 04,To Boldly Go,Market,Ship,D'Var,"Scientist
Orion","Play - Free: Deploy this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Requires 4 Influence: Spend 1 Latinum to gain 1 Research for each Research Focus you have in play (excluding beamed cards). If you gained 3 or more, dismiss this card.",-,2.0
03-Ship 02 07,To Boldly Go,Market,Ship,Medusan Vessel,"Communication
Alien","Play - Action: Deploy this ship. You may discard a card to scan for a Telepath.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",Research,2.0
03-Ship 02 11,To Boldly Go,Market,Ship,Vor'cha Attack Cruiser,"Klingon
Cloak","Play - Action: Deploy this ship. Warp this ship. You may discard a card to send an Away Team to this ship's Location, ignoring any opponent Ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Action: Send an Away Team to this ship's Location.",-,2.0
03-Ship 02 12,To Boldly Go,Market,Ship,Xindi-Aquatic Cruiser,Xindi,"Play - Action: Deploy this ship. You may discard a card to beam a card here.
---
Activation - Spend 2 Dilithium to warp this ship. You may free play a card beamed here.
---
Activation - Discard a card to beam a card here.","Influence
Influence",2.0
03-Ship 03 01,Second Contact,Market,Ship,Fesarius,Ambassador,"Play - Free: Deploy and warp this ship.
---
Activation - Warp this ship.
---
Activation - Spend 1 Dilithium to beam a card here.
---
Activation - Log a Person with Starfleet that is beamed here, discard a Directive, and exhaust another Ship to take the top Encounter to your Discard pile. Log this card.",-,2.0
03-Ship 03 02,Second Contact,Market,Ship,R.I.S. Talvath,"Scientist
Romulan","Play - Action: Deploy this ship. You may warp this ship.
---
Reaction - After you or tour opponent puts an Anomaly / Communication / Time Travel into play, place 1 Dilithium on this card and you may warp this ship.
---
Passive - When this ship is dismissed during your Control Step, gain 1 Glory and gain all resources from this card.",Research,2.0
03-Ship 99 01,Promo 01,Market,Ship,U.S.S. Enterprise-B,Starfleet,"Play - Action: Discard a card to deploy this ship and gain 1 Glory. If it is a Tuesday, you may send an Away Team to a Location.
---
Activation - Spent 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Log a Person from your hand or you Staging Area to draw a card and gain an Action.",-,2.0
03-Ship 99 92,Promo 02,Market,Ship,U.S.S. Cabot,"Starfleet
Scientist","Play - Action: Deploy this ship. You may take an Incident to scan for Creature.
---
Resupply - Draw a card for each Creature in play. If you drew 3 or more, gain 1 Glory and log this card.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Passive - After exhausting this card either: free play Tribbles OR draw Tribbles from your Discard pile.",Research,2.0
"04-Ally 01 01
04-Ally 02 01",Core Box,Market,Ally,Arin'sen,Klingon,"Play - Free, Requires 3 Military: For each Klingon you have in play (max 5 times): Gain 2 Dilithium OR gain 1 Latinum OR discard a card to gain 1 Glory. Log this card.",-,3.0
"04-Ally 01 02
04-Ally 02 02",Core Box,Market,Ally,Bolians,-,Play - Action: Gain 1 Influence. Draw a card. You may free play the drawn card.,-,3.0
"04-Ally 01 03
04-Ally 02 03",Core Box,Market,Ally,Bynars,"Engineer
Alien","Play - Action: Gain a Cargo. Log this card.
---
Play - Action, Requires 3 Research: Scan 3 of Cargo. Log this card.",-,3.0
"04-Ally 01 04
04-Ally 02 04",Core Box,Market,Ally,Denobulans,-,"Play - Action: Gain a Person. Log this card.
---
Play - Action, Requires 3 Influence: Scan 3 of Person. Log this card.",-,3.0
04-Ally 01 05,Core Box,Market,Ally,Edosians,Alien,"Play - Free: Draw 2 cards and discard one of them.
---
Play - Action, Requires 5 Influence. Put 3 cards on the top of your deck to look at the top two Encounter. Take of of them and return the other to the bottom of its deck. Log this card.",-,3.0
04-Ally 01 06,Core Box,Market,Ally,Emerald Chain,"Andorian
Attack
Orion
Shady","Play - Action, Attack: Gain 1 Military. Steal 1 Dilithium. You may free play a Business.",-,3.0
04-Ally 01 07,Core Box,Market,Ally,Halkan Council,-,"Play - Free: Gain 3 Dilithium.
---
Clean-Up - If you have an Attack in play, log this card.",-,3.0
04-Ally 01 08,Core Box,Market,Ally,Karemma,"Business
Dominion","Play - Free: Gain 1 Latinum.
---
Play - Free, Requires 3 Military: Spend 2 Latinum to gain an Action.",-,3.0
"04-Ally 01 09
04-Ally 02 06",Core Box,Market,Ally,Kelpiens,Kelpien,Play - Action: Return up to 2 Incident from you hand or Discaard pile. Log this card.,-,Research
"04-Ally 01 10
04-Ally 02 07",Core Box,Market,Ally,Letheans,"Telepath
Attack
Shady","Play - Action, Attack: Dismiss (one of) your opponent's Duty Officers(s). You may scan for a Shady. You may draw a Cargo from your Discard pile. Log this card.",-,Military
"04-Ally 01 11
04-Ally 02 08",Core Box,Market,Ally,Organians,"Transcendent
Anomaly","Play - Action, Requires 4 Research: Enlist a reserve.
---
Play - Action, Requires 6 Research: Enlist a Development and log this card.",-,3.0
"04-Ally 01 12
04-Ally 02 12",Core Box,Market,Ally,Suliban,"Time Travel
Alien",Play - Action: You may discard a card to recall another non-Time Travel card from your Staging Area. You may duplicate a play Operation of an Ally from the Market.,-,Influence
04-Ally 01 13,Core Box,Market,Ally,Tholians,Alien,Play - Action: You may draw a card. Gain 1 Latinum and 2 Dilithium for each controlled Location you have in play. Log this card.,-,3.0
04-Ally 02 05,To Boldly Go,Market,Ally,Kaelon II Science Ministry,"Scientist
Ongoing","Play - Action: Deploy this card. Place 3 Dilithium on this card and exhaust this card.
---
Clean-Up - If this card is exhausted, gain 1 Research. Otherwise, move 1 Dilithium from this card to a card in the Market. If there is no resources here, log this card.
---
Reaction - After logging a Person / Directive, you may gain 1 Dilithium from here and you may draw a card from your Discard pile.",-,3.0
04-Ally 02 09,To Boldly Go,Market,Ally,Orion Syndicate,"Attack
Orion
Shady","Play - Free, Attack: If you have 3+ Ship deployed, gain 2 Latinum. If your opponent has 3+ Ship deployed, steam 2 Dilithium. If you have 8+ Treachery, find a Shady.
---
Play - Free: Discard a Shady to gain an Action. If you have another Orion in play, draw two cards. Log this card.",-,Influence
04-Ally 02 10,To Boldly Go,Market,Ally,Red Squadron,"Starfleet
Attack
Pilot","Play - Free: Draw 2 cards and discard one of the drawn cards. You may beam a card from your Staging Area to a Ship. You may Warp a Ship.
---
Play - Free, Attack, Requires 3 Influence: Find a Starfleet / Dominion. Draw 2 cards. Force your opponent to dismiss a deployed Ship. Log this card.",-,3.0
04-Ally 02 11,To Boldly Go,Market,Ally,Salt Vampires,"Creature
Telepath","Play - Draw 2 cards.
---
Clean-Up - Log a card from your Staging Area (can be this card).",-,3.0
04-Ally 02 13,To Boldly Go,Market,Ally,Tellarites,"Tellarite
Attack","Play - Action, Attack: Give your opponent an Incident from your hand. If you have another Tellarite in play, gain an Action.",Influence,3.0
04-Ally 02 14,To Boldly Go,Market,Ally,Unimatrix Zero,"Communication
Borg","Play - Free: For each Borg you have in play (excluding this card), spend 1 Dilithium. Draw 2 cards, and 1 more for each XB you have in play (max 6 cards total). If you have no other Borg in play, log this card.",-,Research
04-Ally 02 15,To Boldly Go,Market,Ally,Vadic's Splinter Group,"Changeling
Augment","Play - Free: You may duplicate a play operation of a Person or Cargo you or your opponent has in play (excluding beamed cards). Then either: put a Person into your Staging Area (without triggering their play operation) OR take Incident.
---
Special - While this card is in your Staging Area and you have a Borg in play, this card is additionally treated as Wildcard.",-,Military
04-Ally 02 16,To Boldly Go,Market,Ally,Vidiians,"Doctor
Shady","Play - Action: Find and free play an Incident. Find a Person, except in your Reserve deck. Then, either: log the found person to gain 1 Glory OR free play the found Person and log this card.",Research,3.0
04-Ally 03 01,Second Contact,Market,Ally,Betazed Intelligence,"Betazoid
Telepath
Spy","Play - Free: Find a Beverage / Ambassador / Telepath, except from your Reserve deck.
---
Clean-Up - Temporarily increase your hand size by 1 for each different on of Starfleet / Beverage / Ambassador you have in play. If this increased your hand size by 2 or 3, log this card.",-,3.0
04-Ally 03 02,Second Contact,Market,Ally,Illyrians,Augment,"Play - Free: Promote a Person from your hand or the Staging Area to Duty Officer.
---
Play - Action: Discard a Starfleet to scan 2 of Person. Promote the gained card to Duty Officer.
---
Clean-Up - Gain 1 Research for each Duty Officer you have in play. If you ahve no other Augment in play, log this card.
---
Special - While this card is in your Staging Area, you may have up to two additional Person on duty.",-,3.0
04-Ally 03 03,Second Contact,Market,Ally,Nova Fleet,Lower Decker,"Play - Action: Gain an Ally / Cargo from the Junk. Log this card.
---
Support - When you would junk a card from the Market, gain it to your hand instead. If your opponent has a Lower Decker in play, take an Incident.",-,3.0
04-Ally 99 01,Promo 02,Market,Ally,Drones of Cube 90182,"Lower Decker
Borg","Play - Free: Beam this card to a ship. Either: refresh that Ship OR draw a card OR spend 1 Dilithium to do both.
---
Support - After putting a Borg into play, spending 1 Dilithium to draw a card and gain 2 Research.
---
Support - Requires 5 Collective: After assimilating a card, gain 1 Collective and draw 2 cards.",-,3.0
05-Encounter 01 01,Core Box,Market,Encounter,Ancient Gene Fragments,"Augment
Anomaly","Play - Action: Draw a card for each controlled Location with 1+ Away Teams you have. If you have a Scientist in play, gain an Action.
---
Play - Action: Scan 2 of either Person, Cargo, Ship, or Ally. If you have a Scientist in play, draw a card.",-,Military
05-Encounter 01 02,Core Box,Market,Encounter,Boltzmann Brain,"Telepath
Communication",Play - Free: Draw a card. You may return 1 Incident.,-,6.0
"05-Encounter 01 03
05-Encounter 02 03","Core Box
To Boldly Go",Market,Encounter,Guardian of Forever,"Transcendent
Time Travel
Ongoing
Anomaly","Play - FreeL Gain 1 Influence and 1 Research. Deploy this card.
---
Passive - Increase your hand size by 1. Whenever scanning, include cards in the Junk too.
---
Activation - Recall a non-Time Travel card from you Staging Area. You may take an Incident to gain an Action. Log this card.",-,3.0
05-Encounter 01 04,Core Box,Market,Encounter,Iconian Gateway,"Imperial
Alien","Play - Action: Send up to 3 Away Teams to the same Location, ignoring any opponent Ship. For each Imperial you have in play (excluding this card) gain 1 Military.",-,Influence
"05-Encounter 01 05
05-Encounter 02 04","Core Box
To Boldly Go",Market,Encounter,Koala,Wildcard,THIS CARD CANNOT BE PLAYED.,-,9.0
05-Encounter 01 06,Core Box,Market,Encounter,Omega Particle,Scientist,"Play - Free: Gain 3 Dilithium and 3 Latinum. For each Borg you have in play gain 1 Glory. If you gained 5+ Glory this way, destroy this card.",-,Research
05-Encounter 01 07,Core Box,Market,Encounter,Sha Ka Ree,"Transcendent
Ongoing
Attack
Vulcan","Play - Action, Attack: Deploy this card. You may beam a Ship here. If you do, your opponent takes 2 Incident.
---
Special - This card is considered a Location for all purposes. Deploying this card counts as taking control of a Location.",-,7.0
"05-Encounter 01 08
05-Encounter 02 08","Core Box
To Boldly Go",Market,Encounter,V'Ger,Synthetic,Play - Free: Log up to 2 cards from your hand or Discard pile.,-,9.0
05-Encounter 02 01,To Boldly Go,Market,Encounter,Delphic Expanse Sphere,"Anomaly
Alien","Play - Action: Scan 1 of either Person, Cargo, Ship, Ally, or Mission. Gain 2 Dilithium.
---
Play - Free: You may send an Away Team to a controlled Location. Gain 1 Dilithium / Latinum for each Xindi you have in play.
---
Special - While this card is in your Staging Area and you have an Anomaly in your Fleet Area, this card is additionally treated as Wildcard.",Military,4.0
05-Encounter 02 02,To Boldly Go,Market,Encounter,Gomtuu,"Telepath
Ongoing
Ancient
Attack
Alien","Play - Free: Deploy this card. You may spend an Action to gain 1 Military for each Research Skill you have in play (excluding beamed cards).
---
Activation - Warp this ship.
---
Activation - Attack: You may beam a card here. You may warp an opponent Ship from this ship's Location to another neutral Location.
---
Special - The card is considered a Ship for all purposes.",Research,2.0
05-Encounter 02 05,To Boldly Go,Market,Encounter,New Federation Applicants,"Ambassador
Starfleet","Play - Free: Take an Incident to draw 2 cards. You may beam an Incident to a deployed Ship with Starfleet to gain 1 Glory.
---
Play - Free: Return a beamed Incident to refresh a Location.",-,Wild
05-Encounter 02 06,To Boldly Go,Market,Encounter,Species 10-C,"Communication
Creature","Play - Free: Gain 1 Research / Influence / Military.
---
Play - Free: Select a controlled Location. Foe each trait and Skill Icon the selected card hard, find any card, except from your Reserve deck. Then log the selected Location. If you have another Communication in play, gain 1 Glory.
---
Special - This card is considered an Ally for all purposes.",-,3.0
05-Encounter 02 07,To Boldly Go,Market,Encounter,Stone of Gol,"Ancient
Attack
Vulcan
Weapon","Play - Free, Attack: For each Duty Officer your opponent has in play, force them to either: dismiss it OR exhaust it and you gain 1 Glory.
---
Play - Action, Attack: You opponent takes an Incident. Gain an Attack, including from the Junk. If you do, and you have a Telepath in play, you may free play the gained card.",Influence,6.0
05-Encounter 99 01,Promo 01,Market,Encounter,Wesley Crusher,"Transcendent
Starfleet
Human
Pilot","Play - Action: Enlist a Reserve or a Development. Draw a card. Log this card.
---
Passive - You may use the Activations and Reactions of any Person in your Staging Area.
---
Special - This card is considered a Person for all purposes. This card can be promoted.","Wild
Wild",6.0
06-Incident 01 01,Core Box,Market,Incident,Energy Drain,-,"Play - Action: Spend 2 Dilithium to return this card. If you have an Engineer in play, gain an Action.",-,-2.0
"06-Incident 01 02
06-Incident 02 02","Core Box
To Boldly Go",Market,Incident,Hostile Contact,-,"Play - Action: Discard a card to return this card. If the discarded card has Military gain, 2 Dilithium.
---
Play - Action: If you have a Communication in play, return this card and gain 2 Dilithium.",-,-2.0
"06-Incident 01 03
06-Incident 02 03","Core Box
To Boldly Go",Market,Incident,Political Crisis,-,"Play - Action: Discard a card to return this card. If the discarded card has Influence, gain 1 Latinum.
---
Play - Action: If you have an Ambassador in play, return this card and gain 1 Latinum.",-,-2.0
06-Incident 01 04,Core Box,Market,Incident,Red Alert,-,Play - Action: Put a card on the top of your deck to return this card. You may promote a Person from your Staging Area to Duty Officer.,-,-2.0
"06-Incident 01 05
06-Incident 02 05","Core Box
To Boldly Go",Market,Incident,Subspace Phenomenon,-,"Play - Action: Discard a card to return this card. If the discarded card has Research draw 2 cards and discard one of them.
---
Play - Action: If you have a Time-Travel in play, return this card and draw 2 cards and discard one of them.",-,-2.0
"06-Incident 01 06
06-Incident 02 06","Core Box
To Boldly Go",Market,Incident,Trade Embargo,-,Play - Action: Spend 1 Latium to return this card. You may refresh a Ship.,-,-2.0
06-Incident 02 01,To Boldly Go,Market,Incident,Dilithium Shockwave,"Surprise
Anomaly","Play - Action: Spend all your Dilithium. Your opponent gains 2 Dilithium. Return this card.
---
Play - Action: If you have a Kelpien in play, return this card, and you may spend 3 Dilithium to gain 1 Glory.
---
Special (Bot only) - Gain 1 Glory and discard the top card of the Bot deck. You gain 2 Dilithium. Return this card.",-,-2.0
06-Incident 02 04,To Boldly Go,Market,Incident,Reed Alert,-,"Play - Action: Put a card on the top of your deck to return this card. You may promote a Person from your Staging Area to Duty Officer. If you have Malcolm Reed in play, gain 1 Glory.",-,-2.0
06-Incident 99 01,Promo 01,Market,Incident,Flight Training Accident,Surprise,"Play - Action: Find and log a Ship to return this card. If you have 1+ Person on duty, gain an Action.
---
Play - Action: If you have a Pilot in play, return this card and gain 1 Glory.
---
Surprise (Bot only) - Gain 1 Glory, then resolve the top card of the bot deck. Return this card.
---
Special - During setup, replace a random Incident in the Incident deck with this card.",-,-2.0
06-Incident 99 02,Promo 01,Market,Incident,Whale Probe Incursion,"Surprise
Attack
Alien","Play - Action, Attack: Recall a deployed Ship, if  able. Force your opponent to recall a deployed Ship. If you have a Creature in play, return this card.
---
Surprise (Bot only) - You must recall a Ship, if able. Return this card.
---
Special - During setup, replace a random Incident in the Incident deck with this card.",-,-2.0
06-Incident 99 03,Promo 02,Market,Incident,Subspace Rhapsody,"Communication
Anomaly","Play - Action: Put a Directive in your Staging Area (without triggering its play operation) to return this card. You may sing the text of its first play operation to refresh either a Duty Officer OR your Captain.
---
Special - During setup, replace a random Incident in the Incident deck with this card.",-,-2.0
07-Location 01 01,Core Box,Market,Starting Location,Amargosa Observatory,"Scientist
Starbase","Control - You may gain a Person. If it is a Scientist/Engineer gain 1 Glory.
---
Reaction - After putting an Encounter into play, gain 1 Glory and you may log a card from your hand or Discard pile.
---
Special - When you log this card, warp all your deployed Ship to one other Location, then draw two cards.",Research,3.0
"07-Location 01 02
07-Location 02 01","Core Box
To Boldly Go",Market,Starting Location,Ancient Relay Station,"Communication
Alien",Control - You may put a card on the top of your deck and spend an Action to enlist a Development.,Research,-
"07-Location 01 03
07-Location 02 02","Core Box
To Boldly Go",Market,Starting Location,Archer IV,-,"Control - No effect.
---
Resupply - Draw a card, then discard a card.",Influence,3.0
07-Location 01 04,Core Box,Market,Advanced Location,Ba'ku,Anomaly,"Control - You may beam any number of Person here from your hand or Discard pile.
---
Activation - Beam your Duty Officer here to gain an Action.
---
Activation - Spend 1 Dilithium to recall one Person beamed here.
---
Endgame - Score 1 for each Person beamed here.",-,Endgame
07-Location 01 05,Core Box,Market,Starting Location,Betazed,Betazoid,Control - Gain 2 Latinum.,"Influence
Influence
Influence",3.0
07-Location 01 06,Core Box,Market,Starting Location,Corvan II,"Starfleet
Business
Human","Control - No effect.
---
Resupply - Discard the top card of your deck. If the discarded card shares at least one trait with your Captain, gain 2 Dilithium. Otherwise, gain 1 Dilithium.",Military,3.0
07-Location 01 07,Core Box,Market,Advanced Location,Deep Space K-7,Starbase,"Control - No effect.
---
Activation - Put a Directive or a Security on the top of your deck to gain an Action.",-,Influence
"07-Location 01 08
07-Location 02 05","Core Box
To Boldly Go",Market,Starting Location,Delta Vega,-,"Control - No effect.
---
Resupply - Reveal your hand. For each Person in your hand, gain 1 Dilithium.",Military,2.0
07-Location 01 09,Core Box,Market,Advanced Location,Derna,"Bajoran
Romulan
Doctor","Control - You may spend 2 Dilithium to scan for either a Weapon or Doctor. Draw a card.
---
Activation - Beam a Weapon here from your hand or Discard pile.
---
Activation - Discard a Weapon to gain 1 Dilithium and return an Incident.
---
Endgame - Score 2 for each Weapon beamed here.",-,"Endgame
1"
"07-Location 01 10
07-Location 02 07","Core Box
To Boldly Go",Market,Starting Location,Dozaria,Breen,Control - Gain 3 Dilithium.,"Military
Military",3.0
07-Location 01 11,Core Box,Market,Advanced Location,Freecloud,"Business
Shady","Control - You may spend 1 Latinum to scan for Business.
---
Activation - Discard a card to gain 1 Latinum.
---
Activation - Spend 2 Latinum to find any card.",-,5.0
"07-Location 01 12
07-Location 02 08","Core Box
To Boldly Go",Market,Starting Location,Indri VIII,Anomaly,Control - Gain an Action.,"Research
Influence",5.0
07-Location 01 13,Core Box,Market,Advanced Location,Kelvas Docks,"Cardassian
Starbase
Engineer
Dominion","Control - No effect.
---
Activation - You may spend 3 Dilithium to free play a Ship. You may refresh a Ship",-,Military
"07-Location 01 14
07-Location 02 15","Core Box
To Boldly Go",Market,Advanced Location,Memory Alpha,"Communication
Starfleet","Control - You may log a card. You may duplicate a play operation of a Person/Cargo/Ally/Directive from your Log.
---
Reaction - After logging a card, gain 1 Glory.",-,5.0
07-Location 01 15,Core Box,Market,Advanced Location,Regula I,"Starfleet
Scientist
Starbase","Control - You may find a Scientist OR you may spend 3 Dilithium to scan for a Scientist.
---
Reaction - After putting a Scientist into play, gain 1 Glory.
---
Endgame - Score 1 for each of your Anomaly cards.","Research
Research","Endgame
1"
"07-Location 01 16
07-Location 02 09","Core Box
To Boldly Go",Market,Starting Location,Risa,Business,"Control - Find up to 3 Person, except in your Reserve deck, and beam them here.
---
Activation - Beam a Person here.
---
Activation - Recall a card beamed here to gain 1 Latinum.",Influence,4.0
"07-Location 01 17
07-Location 02 16","Core Box
To Boldly Go",Market,Advanced Location,Solum,Vau N’akat,Control - Take an Incident and put it on the bottom of your Draw deck.,-,10.0
"07-Location 01 18
07-Location 02 17","Core Box
To Boldly Go",Market,Starting Location,Tulgana IV,"Ambassador
Starfleet
Business
Klingon","Control - You may junk up to 2 cards from the Market.
---
Activation - Spend 1 Latinum to send an Away Team to a Location where you have a ship.
---
Activation - Discard a Cargo to draw a card from your deck or discard pile.",-,1.0
"07-Location 01 19
07-Location 02 19","Core Box
To Boldly Go",Market,Advanced Location,Verex III,"Shady
Orion","Control - Gain 1 Glory.
---
Activation - Log a Person to gain 2 Latinum.
---
Endgame - Score 1 for each of your Shady cards.",Influence,Endgame
"07-Location 01 20
07-Location 02 20","Core Box
To Boldly Go",Market,Advanced Location,Xahea,-,"Control - No effect.
---
Resupply - Gain 1 Dilithium.
---
Reaction - After playing Utilise you may put a Person on top of your Deck to duplicate Utilise's other play operation.",Military,Research
07-Location 02 03,To Boldly Go,Market,Starting Location,Argus Arry,"Communication
Starfleet","Control - No effect.
---
Resupply - You may discard a card to draw a card from your Discard pile.",Wild,-
07-Location 02 04,To Boldly Go,Market,Starting Location,Cold Station 12,"Starbase
Augment","Control - You may beam a card from your hand or discard pile here.
---
Resupply - you may spend 1 Dilithium to recall a card from here.
---
Reaction - After discarding a card during your Action Step, beam the discarded card here.
---
Endgame - Score 1 for each Augment beamed here.",Research,"Endgame
1"
07-Location 02 06,To Boldly Go,Market,Starting Location,Denaxi Depot,"Business
Xindi
Shady","Control - You may discard a card to send an Away Team here. If the discarded card has Business gain 2 Latinum.
---
Activation - Action: Remove an Away Team from here to gain a Ship
---
Activation - Spend 1 Latinum and discard a card to find a Ship, except in your Reserve deck.",-,1.0
07-Location 02 10,To Boldly Go,Market,Starting Location,Tahal-Meeroj,Anomaly,"Control - You may enlist a Reserve. Draw 2 cards.
---
Special - When you log this card, gain 2 Research",-,3.0
07-Location 02 11,To Boldly Go,Market,Advanced Location,Azati Prime,"Engineer
Xindi","Control - You may put a card on the top of your deck to gain a Cargo / Ship. If the gained card has Weapon, gain 2 Glory.
---
Endgame - Score 1 for each of your Xindi cards.","Research
Research
Military","Endgame
2"
07-Location 02 12,To Boldly Go,Market,Advanced Location,Babel One,"Communication
Ambassador","Control - No effect.
---
Resupply - Draw one card for each Communication you have in play (excluding this card, max 3).
---
Endgame - Requires 6 Influence: Score 1 for each Communication / Ambassador you have in play.",Influence,"Endgame
2"
